Date,Close,High,Low,Open,Volume
2011-01-04,0.36146190762519836,0.3649000327794218,0.35343961559867704,0.36329557983887545,651384000
2011-01-05,0.3891963064670563,0.3896547452233807,0.36444178854903936,0.36810910733301816,1428216000
2011-01-06,0.4430602490901947,0.44328946841793804,0.3981353647848239,0.3992814067759478,3493312000
2011-01-07,0.45543748140335083,0.4568127426087238,0.4281616678712782,0.4380176336463331,2579984000
2011-01-10,0.4728577136993408,0.4737745370326422,0.44374820399550025,0.44718633248110506,1750348000
2011-01-11,0.46552276611328125,0.483859496106103,0.45543760560293167,0.4792753272697983,2711088000
2011-01-12,0.5352020263671875,0.5356604102871736,0.4641473818966081,0.465751834911724,3431896000
2011-01-13,0.5361188054084778,0.5464332078384532,0.512968725250177,0.5294717472791065,2695192000
2011-01-14,0.5407030582427979,0.5496422011528811,0.5237416496295012,0.5269505559107865,1595352000
2011-01-18,0.528096616268158,0.5370357599538437,0.5150317433839356,0.5333684147509271,1813348000
2011-01-19,0.5136565566062927,0.5409323756152488,0.5125105418034253,0.5283259395457106,1197896000
2011-01-20,0.514115035533905,0.5170947507610949,0.4994456514469388,0.5086140438250945,1111408000
2011-01-21,0.5093015432357788,0.5269506398907524,0.5083847205303816,0.5196159489523843,739244000
2011-01-24,0.566832959651947,0.5741676507575523,0.5267214598859878,0.532680834930746,2056900000
2011-01-25,0.5494129657745361,0.5702709096028213,0.5457456211795146,0.5643114814668592,1086856000
2011-01-26,0.5624780654907227,0.5730216650011046,0.5512468351733502,0.5551433733145601,1074660000
2011-01-27,0.5608735680580139,0.5718755508161562,0.5501007773351163,0.5705003439570885,657396000
2011-01-28,0.544599711894989,0.571646338403319,0.5317640293696458,0.5622488095220849,1094796000
2011-01-31,0.5482670068740845,0.5558308895441788,0.5365773948601174,0.5455165388607004,750160000
2011-02-01,0.5608735680580139,0.5649992979304171,0.5494131465817824,0.5530804923836965,654104000
