Date,Close,High,Low,Open,Volume
2011-01-10,15.255356788635254,15.284664918576123,15.115025328067066,15.270009907082954,63104832
2011-01-11,15.30006217956543,15.369358047678627,15.262558113479061,15.342285607474645,57514428
2011-01-12,15.321423530578613,15.383020388359585,15.26926539716711,15.383020388359585,65242692
2011-01-13,15.316951751708984,15.39096698078668,15.254112115169626,15.323905853375722,53306640
2011-01-14,15.502985000610352,15.505219740768544,15.32663929788577,15.334587249223484,94529376
2011-01-18,15.88672161102295,15.945337864229511,15.530055794517692,15.549677208562583,144535320
2011-01-19,15.691001892089844,15.969428137477589,15.63909175370864,15.948564886557717,136107756
2011-01-20,15.567313194274902,15.748875179893654,15.480879580257868,15.702428364148174,219212568
2011-01-21,15.196242332458496,15.938879274919872,15.184568868554983,15.88548025281815,355819824
2011-01-24,15.177614212036133,15.212635551173722,14.932967441615764,15.0904356871732,183784032
2011-01-25,15.396927833557129,15.416301259235649,15.064355740863357,15.106082245534642,145726128
2011-01-26,15.312233924865723,15.46101025775687,15.28193194676914,15.407361350450243,81442476
2011-01-27,15.319435119628906,15.391711585208835,15.231510742459566,15.346756494418909,80687232
2011-01-28,14.92700481414795,15.408104262140359,14.896454851069645,15.37606352598459,169074756
2011-01-31,14.911357879638672,15.01343940101345,14.791890630212526,14.991831235416505,112083804
2011-02-01,15.176619529724121,15.23399394172901,14.97965954151518,15.013934070238767,109702188
2011-02-02,15.200465202331543,15.25858453456645,15.089441877838834,15.175627500636573,70357572
2011-02-03,15.154515266418457,15.18680399255084,15.054668488291272,15.137873505715513,59744196
2011-02-04,15.175130844116211,15.186555372375484,15.066591199994647,15.154515581026986,61969968
2011-02-07,15.257343292236328,15.359175879144754,15.131168035555714,15.154763898949092,71912016
2011-02-08,15.358926773071289,15.389973662500012,15.262806451484254,15.273239024127873,67728204
2011-02-09,15.312233924865723,15.385504247988623,15.208910559119452,15.321423713874898,73626300
2011-02-10,15.31074333190918,15.337071807971563,15.189537311140827,15.247656645899907,93282624
2011-02-11,15.510931968688965,15.523351292601241,15.225301716546612,15.244924077953929,103492404
2011-02-14,15.601588249206543,15.638596339510887,15.400157810940664,15.48212099597901,85034880
2011-02-15,15.502238273620605,15.649772762809322,15.476159680907914,15.580973815730532,83596320
2011-02-16,15.503976821899414,15.560605376198177,15.451320822965897,15.538997211691818,67292640
2011-02-17,15.529808044433594,15.579234510220783,15.40611835876098,15.430210199540799,59092848
2011-02-18,15.649524688720703,15.676845119032972,15.502984049136955,15.548188078753547,128587284
2011-02-22,15.156006813049316,15.521612551913227,15.095402859649868,15.39990866723619,145450404
2011-02-23,15.183573722839355,15.2675245960268,15.00176472028318,15.158985905931896,115468416
2011-02-24,15.121482849121094,15.227538824206347,14.935947363219862,15.185314446720332,108359532
2011-02-25,15.15178394317627,15.268022609912427,15.13837266303536,15.19698892082111,77218704
2011-02-28,15.235238075256348,15.311985922756563,15.10136379605533,15.15079121202471,91168740
