nickName,movieId,rating,timestamp,review
꿈몽이,44786,3,1364819040.0,"졸작!! 좋은배우들 데려다가 만든게 이거라니..여기나오는 괴물도 영화 괴물에 나오는 괴물이랑 너무 닮아..흉내낸듯...그러니 별로 놀라지도 않고,,불타는 설정도 참 초딩스런 전개 "
안현빈,55828,10,1662296100.0,고사 두 번째 이야기: 교생실습이라는 한국 공포영화가 왠지 무서운 영화입니다
서지현,135762,1,1699960920.0,.
여비,83693,5,1393938660.0,"판타지, 미스터리라고 장르를 짓기엔 뭔가 좀 부족한...
오히려 한 노인의 드라마라고 부르는게 적절할듯....
영화가 다루고자 하는 소재는 괜찮은데 그 얘기를 이끌어가는데 임팩트와 창의성이 모자란 느낌..."
안현빈,139666,10,1658061480.0,안 배우가 출연한 한산: 용의 출현에서 어영담 역을 맡았습니다. 안성기 배우가 출연한 영화를 관람하겠습니다
서지현,39075,7,1699863060.0,.
꿈몽이,43688,9,1364818200.0,간만에 볼만한 한국영화! 주연배우들도 그렇지만 엑스트라까지 연기가 뛰어난 영화~~
여비,1161,9,1392480360.0,"이거 처음 봤을때 정말 신선한 충격이었음...
요즘 보면 좀 덜 하겠지만, 이게 매트릭스 나오기전에 만들어졌다는걸 생각해보면 정말 뛰어난 상상력의 영화라 칭찬할만 함~~"
기억의그늘,79188,10,1661840820.0,유럽인기준의 최고의 미남 미녀. 일본으로 치면 혼혈인듯 혼혈아닌 혼혈같은 사사키노조미랄까. 근데 좀 아쉬워 각 애매한 천재들이 3단계가 있어 2단계들에서 진짜 자연스럽게 존잘과 미녀였는데
안현빈,61817,10,1655531880.0,안 감독이 블라인드이란 영화를 연출했습니다
서지현,110932,5,1699588620.0,.
꿈몽이,73938,8,1364280240.0,그나마 괜찮은데 우리말 녹음이였으면 편했을듯..
여비,54520,8,1389864000.0,"최근 본 벤 스틸러 영화중 가장 좋게 봤음...
숀펜 보는 재미도 있고~~ㅎㅎ
마음을 따뜻하게 하는 영화~~"
기억의그늘,3773,10,1661062200.0,에라이 진아 ㅋㅋㅋㅋㅋㅋ 왜 대체 유독 북유럽계 사람들은 못 떴을 까.
안현빈,140348,10,1651911180.0,안씨라는 성씨를 가진 안연석(유연석)의 연기가 좋았습니다
여비,76585,8,1388698680.0,"작가 및 감독으로서도 재능이 있는듯~~
다재다능 조토끼~~
그래도 역시 변화무쌍한 케릭터 변화는 진정한 조토끼의 무기~~ㅎㅎ"
서지현,68773,2,1699516260.0,.
꿈몽이,59123,9,1363423620.0,간만에 애들이 좋아하는 애니메이션! 추천!!
안현빈,134561,10,1646481060.0,딥 이블: 악마의 진실이란 영화 스토리를 모르겠지만 아무튼 재밌습니다
기억의그늘,146931,10,1660718820.0,노근리 학살을 기억하자 fxxking u_a
여비,62635,1,1387499400.0,"와....정말 이건 뭐라 할 말이 없게 만드네...
너무 망작이라 할말이 없다....ㅡ_ㅡa"
서지현,126640,7,1699479300.0,.
꿈몽이,59970,9,1363347300.0,재밌습니다~~~ 추천 
안현빈,77917,10,1643695080.0,무서운 이야기 시즌2가 재밌습니다
기억의그늘,66223,10,1657652520.0,아니 대체 매튜맥커너히 언급이 없냐. 이거 영화는 미국꺼인데 조형기가 왜나오고 류시원이 왜나오고 조현우가 왜 나오고 곽한구가 왜나와. 이거 미국영화라고. 해외진출한게 아니라고.
여비,67165,9,1336619040.0,"영화와 비슷한 사랑경험과 과거의 첫사랑을 다시 만나봤던 사람이라면 심히 공감이 되고 몰입이 될 수 밖에 없겠지만, 아닌 사람들에겐 공감하기 힘든 영화일듯....
난 너무 공감이 되서...ㅜ_ㅜ"
서지현,167244,8,1699328340.0,.
꿈몽이,60469,9,1363347240.0,화려한 그래픽..맘에 들어요~ 약간의 재미성은 떨어지지만 하네요~~
안현빈,154524,10,1642420080.0,바이오하자드의 호러 게임이지만 영화화로 되어 있는 영화가 레지던트 이블:라쿤시티라는 영화입니다
